laser_x,laser_y,laser_speed,laser_direction,cat_energy,successful_capture
0.2,0.3,0.5,45,0.8,1
0.7,0.8,0.9,120,0.3,0
0.5,0.5,0.3,90,0.9,1
0.1,0.9,0.7,180,0.5,0
0.9,0.1,0.4,270,0.7,1
0.3,0.7,0.8,30,0.4,0
0.6,0.4,0.2,150,0.9,1
0.8,0.6,0.6,200,0.2,0
0.4,0.2,0.5,60,0.8,1
0.2,0.8,0.9,300,0.3,0
0.7,0.3,0.3,45,0.9,1
0.5,0.9,0.7,135,0.4,0
0.9,0.5,0.4,90,0.8,1
0.1,0.1,0.8,270,0.2,0
0.3,0.6,0.2,180,0.9,1
0.8,0.2,0.6,315,0.5,1
0.4,0.8,0.9,225,0.3,0
0.6,0.1,0.3,45,0.7,1
0.2,0.5,0.5,120,0.9,1
0.7,0.7,0.8,90,0.2,0
0.5,0.3,0.4,180,0.8,1
0.9,0.9,0.7,270,0.4,0
0.1,0.4,0.2,60,0.9,1
0.3,0.1,0.6,150,0.3,0
0.8,0.8,0.9,240,0.6,0
0.4,0.6,0.3,45,0.9,1
0.6,0.9,0.5,135,0.5,0
0.2,0.2,0.8,300,0.7,1
0.7,0.4,0.4,90,0.8,1
0.5,0.7,0.7,180,0.3,0
0.9,0.3,0.2,270,0.9,1
0.1,0.6,0.6,45,0.4,0
0.3,0.9,0.9,120,0.2,0
0.8,0.5,0.3,200,0.8,1
0.4,0.1,0.5,315,0.9,1
0.6,0.8,0.8,225,0.3,0
0.2,0.4,0.4,60,0.7,1
0.7,0.6,0.6,150,0.9,1
0.5,0.2,0.2,90,0.5,1
0.9,0.7,0.7,180,0.2,0
0.1,0.3,0.3,270,0.8,1
0.3,0.5,0.5,45,0.6,1
0.8,0.1,0.8,135,0.4,0
0.4,0.9,0.9,300,0.1,0
0.6,0.3,0.4,90,0.9,1
0.2,0.7,0.7,180,0.5,0
0.7,0.9,0.2,270,0.8,1
0.5,0.1,0.6,45,0.7,1
0.9,0.8,0.8,120,0.3,0
0.1,0.5,0.3,200,0.9,1
0.3,0.2,0.5,315,0.4,0
0.8,0.4,0.4,225,0.8,1
0.4,0.7,0.7,60,0.6,1
0.6,0.6,0.2,150,0.9,1
0.2,0.1,0.6,90,0.2,0
0.7,0.5,0.9,180,0.7,1
0.5,0.8,0.3,270,0.5,0
0.9,0.2,0.5,45,0.9,1
0.1,0.9,0.8,135,0.3,0
0.3,0.3,0.4,300,0.8,1
0.8,0.7,0.7,90,0.4,0
0.4,0.4,0.2,180,0.9,1
0.6,0.5,0.6,270,0.6,1
0.2,0.9,0.9,45,0.2,0
0.7,0.1,0.3,120,0.8,1
0.5,0.6,0.5,200,0.7,1
0.9,0.4,0.8,315,0.3,0
0.1,0.7,0.4,225,0.9,1
0.3,0.8,0.6,60,0.5,0
0.8,0.3,0.2,150,0.8,1
0.4,0.5,0.7,90,0.9,1
0.6,0.2,0.9,180,0.4,0
0.2,0.6,0.3,270,0.7,1
0.7,0.8,0.5,45,0.9,1
0.5,0.4,0.8,135,0.2,0
0.9,0.6,0.4,300,0.8,1
0.1,0.2,0.7,90,0.6,1
0.3,0.4,0.2,180,0.3,0
0.8,0.9,0.6,270,0.9,1
0.4,0.3,0.9,45,0.5,0
0.6,0.7,0.3,120,0.8,1
0.2,0.3,0.5,200,0.7,1
0.7,0.2,0.8,315,0.4,0
0.5,0.5,0.4,225,0.9,1
0.9,0.1,0.7,60,0.3,0
0.1,0.8,0.2,150,0.8,1
0.3,0.6,0.6,90,0.6,1
0.8,0.8,0.9,180,0.2,0
0.4,0.1,0.3,270,0.9,1
0.6,0.4,0.5,45,0.7,1
0.2,0.7,0.8,135,0.4,0
0.7,0.3,0.4,300,0.8,1
0.5,0.9,0.7,90,0.5,0
0.9,0.5,0.2,180,0.9,1
0.1,0.1,0.6,270,0.3,0
0.3,0.2,0.9,45,0.8,1
0.8,0.6,0.3,120,0.6,1
0.4,0.8,0.5,200,0.2,0
0.6,0.9,0.8,315,0.9,1
